riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs4420638-?	1.00E-12	-	NR	-	2.2018 unit increase	-	APOC1,APOC1P1	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	748680:29:00	22005931	Kamboh MI
rs10517270-?	4.00E-06	-	NR	-	3.3056 unit decrease	-	MAPRE1P2,RPL31P31	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	553362:38:00	22005931	Kamboh MI
rs2104362-?	7.00E-06	-	NR	-	0.8441 unit increase	-	LINC01016,MLN	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	564299:01:00	22005931	Kamboh MI
rs12933233-?	8.00E-06	-	NR	-	0.7869 unit increase	-	LINC02181,C16orf95	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	1451316:24:00	22005931	Kamboh MI
rs1037757-?	8.00E-06	-	NR	-	4.5618 unit decrease	-	SEC11C,OACYLP	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	984765:02:00	22005931	Kamboh MI
rs3743162-?	9.00E-06	-	NR	-	0.88 unit decrease	-	SLC28A1	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	1414810:38:00	22005931	Kamboh MI
rs12816806-?	9.00E-06	-	NR	-	0.8384 unit increase	-	RBM19,DYNLL1P4	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	1896851:46:00	22005931	Kamboh MI
rs56131196-A	4.00E-12	(Cortical Ab)	0.29	-	-	-	APOC1,APOC1P1	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	748678:49:00	23419831	Ramanan VK
rs6857-T	1.00E-10	(Cortical Ab)	0.28	-	-	-	NECTIN2	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	748168:57:00	23419831	Ramanan VK
rs59007384-T	7.00E-09	(Cortical Ab)	0.32	-	-	-	TOMM40	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	748242:28:00	23419831	Ramanan VK
rs7702276-T	1.00E-06	(Cortical Ab)	0.36	-	-	-	RPS17P11,MFSD4BP1	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	875170:08:00	23419831	Ramanan VK
rs24449894-A	2.00E-06	(Cortical Ab)	0.17	-	-	-	-	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	-	23419831	Ramanan VK
rs7039300-G	2.00E-06	(Cortical Ab)	0.23	-	-	-	RPL3P11,ATP5PDP3	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	234421:22:00	23419831	Ramanan VK
rs9384488-A	3.00E-06	(Cortical Ab)	0.35	-	-	-	H3P28,ARID1B	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	2611476:47:00	23419831	Ramanan VK
rs10219670-C	4.00E-06	(Cortical Ab)	0.42	-	-	-	CASC18	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	1761927:41:00	23419831	Ramanan VK
chr2:173336636-A	6.00E-07	(Cortical Ab)	0.43	-	-	-	-	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	-	23419831	Ramanan VK
rs509208-G	3.00E-08	(Cortical Ab)	0.16	-	-	-	LINC01326,SSBL6P	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	2771614:21:00	23419831	Ramanan VK
rs113524839-T	8.00E-07	(Cortical Ab)	0.11	-	-	-	PPIAP79,EDIL3-DT	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	1413154:18:00	23419831	Ramanan VK
rs1422438-G	6.00E-07	(Cortical Ab)	0.3	-	-	-	RN7SKP122,RN7SL782P	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	1796262:55:00	23419831	Ramanan VK
rs429358-C	5.00E-14	(Cortical Ab)	0.28	-	-	-	APOE	Alzheimer's disease biomarkers	Alzheimer disease,amyloid-beta measurement	-	GCST001868	748497:04:00	23419831	Ramanan VK
rs9899728-?	2.00E-08	-	NR	-	-	-	RNU6-362P,MRPL58	Alzheimer's disease or small vessel stroke	Alzheimer disease,small vessel stroke	-	GCST003423	1250394:59:00	26913989	Traylor M
rs3850930-A	6.00E-07	(between families)	NR	-	4.991 unit increase	-	TRIM51CP	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	815817:32:00	26830138	Herold C
rs2313143-A	2.00E-07	(between families)	NR	-	5.224 unit increase	-	GTF2IP11,PHKG1P3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	835244:27:00	26830138	Herold C
rs141218484-T	9.00E-08	(between families)	NR	-	5.336 unit decrease	-	AHNAK	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1041364:11:00	26830138	Herold C
rs117983694-A	7.00E-08	(between families)	NR	-	5.399 unit decrease	-	CCDC89	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1428108:17:00	26830138	Herold C
rs3911569-A	3.00E-07	(between families)	NR	-	5.145 unit increase	-	FAM76B,LNCRNA-IUR	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1589392:11:00	26830138	Herold C
rs188168326-T	9.00E-08	(between families)	NR	-	5.352 unit increase	-	LINC02763,LINC02762	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1873215:01:00	26830138	Herold C
rs11220271-A	5.00E-07	(between families)	NR	-	5.033 unit increase	-	DDX25	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2098468:57:00	26830138	Herold C
rs11062987-A	7.00E-07	(between families)	NR	-	4.964 unit decrease	-	HSPA8P5,PARP11-AS1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	67744:40:00	26830138	Herold C
rs116938548-T	2.00E-07	(between families)	NR	-	5.24 unit increase	-	NDUFA9,GAU1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	78330:05:00	26830138	Herold C
rs3794318-A	5.00E-07	(between families)	NR	-	5.043 unit decrease	-	AICDA	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	143444:27:00	26830138	Herold C
rs117154046-A	6.00E-07	(between families)	NR	-	5.001 unit increase	-	OVCH1-AS1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	489842:44:00	26830138	Herold C
rs79335261-T	7.00E-08	(between families)	NR	-	5.399 unit increase	-	PA2G4,ERBB3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	935076:17:00	26830138	Herold C
rs187293782-T	7.00E-09	(between families)	NR	-	5.78 unit increase	-	SNORA70,RN7SL734P	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1262738:16:00	26830138	Herold C
rs190909796-T	5.00E-07	(between families)	NR	-	5.038 unit increase	-	OTOGL,RNU7-106P	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1334693:42:00	26830138	Herold C
rs117483990-T	1.00E-09	(between families)	NR	-	6.07 unit decrease	-	BRWD1P2,RNU6-148P	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1497194:17:00	26830138	Herold C
rs185806653-A	8.00E-07	(between families)	NR	-	4.932 unit increase	-	Y_RNA,LINC02375	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2124838:33:00	26830138	Herold C
rs144288546-A	2.00E-08	(between families)	NR	-	5.634 unit increase	-	TMEM132C	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2143097:37:00	26830138	Herold C
rs61960582-A	8.00E-07	(between families)	NR	-	4.927 unit increase	-	TPTE2P3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	875977:52:00	26830138	Herold C
rs61956285-T	1.00E-06	(between families)	NR	-	4.902 unit increase	-	RABEPKP1,DACH1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1188302:54:00	26830138	Herold C
rs189465671-T	2.00E-07	(between families)	NR	-	5.246 unit increase	-	ARF4P4,LINC00377	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1349383:30:00	26830138	Herold C
rs9546312-T	9.00E-07	(between families)	NR	-	4.92 unit decrease	-	GYG1P2,RNU6-67P	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1386226:36:00	26830138	Herold C
rs6491411-A	9.00E-07	(between families)	NR	-	4.911 unit decrease	-	FARP1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1637551:34:00	26830138	Herold C
rs117969561-T	9.00E-07	(between families)	NR	-	4.909 unit increase	-	GGACT	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1675995:15:00	26830138	Herold C
rs115694210-A	1.00E-07	(between families)	NR	-	5.336 unit decrease	-	LINC00343	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1762350:10:00	26830138	Herold C
rs150813880-A	1.00E-06	(between families)	NR	-	4.895 unit increase	-	MYO16	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1819026:49:00	26830138	Herold C
rs189590409-A	2.00E-07	(between families)	NR	-	5.243 unit increase	-	Y_RNA,CSMD3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1895264:13:00	26830138	Herold C
rs149038799-A	7.00E-08	(between families)	NR	-	5.382 unit increase	-	SMILR,LINC01151	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2040778:23:00	26830138	Herold C
rs118152978-A	2.00E-10	(between families)	NR	-	6.359 unit decrease	-	RNU6-869P,LINC00861	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2105696:13:00	26830138	Herold C
rs10975167-T	8.00E-07	(between families)	NR	-	4.928 unit increase	-	PDCD1LG2	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	92315:47:00	26830138	Herold C
rs147338646-A	5.00E-07	(within families)	NR	-	5.009 unit increase	-	AKAP8P1,JKAMPP1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	196889:13:00	26830138	Herold C
rs78496360-A	5.00E-07	(between families)	NR	-	5.026 unit decrease	-	LINC01243,MTATP6P30	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	525004:15:00	26830138	Herold C
rs147213018-A	2.00E-07	(between families)	NR	-	5.213 unit increase	-	RFC5P1,ATP5MFP3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1284358:24:00	26830138	Herold C
rs7047415-T	3.00E-07	(between families)	NR	-	5.096 unit increase	-	ERCC6L2-AS1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1596324:50:00	26830138	Herold C
rs12378800-A	2.00E-07	(between families)	NR	-	5.218 unit increase	-	FOXE1,TRMO	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1631167:58:00	26830138	Herold C
rs1774093-A	7.00E-07	(between families)	NR	-	4.956 unit decrease	-	MTND3P4,ARL2BPP7	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1698090:14:00	26830138	Herold C
rs139090762-A	8.00E-08	(between families)	NR	-	5.358 unit increase	-	PNPLA7	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2292044:27:00	26830138	Herold C
rs181666690-T	1.00E-07	(within families)	NR	-	5.289 unit decrease	-	WAC	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	476061:33:00	26830138	Herold C
rs146650065-A	4.00E-08	(between families)	NR	-	5.471 unit decrease	-	JCAD,SVIL	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	499025:40:00	26830138	Herold C
rs211257-C	2.00E-08	(between families)	NR	-	5.641 unit decrease	-	RN7SL825P,RPL34P19	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	533199:23:00	26830138	Herold C
rs117850870-C	1.00E-06	(between families)	NR	-	4.893 unit decrease	-	C10orf71	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	821938:23:00	26830138	Herold C
rs61860854-T	3.00E-11	(between families)	NR	-	6.651 unit decrease	-	SLC16A9,MRPL50P4	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	993012:15:00	26830138	Herold C
rs79538733-A	5.00E-07	(between families)	NR	-	5.015 unit increase	-	LINC02651,RPL5P26	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1162362:21:00	26830138	Herold C
rs190780914-T	5.00E-08	(between families)	NR	-	5.452 unit decrease	-	RNU6-478P,MARK2P15	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1386512:19:00	26830138	Herold C
rs73320584-A	7.00E-07	(between families)	NR	-	4.96 unit decrease	-	LINC02653	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1507905:19:00	26830138	Herold C
rs73310256-T	3.00E-07	(between families)	NR	-	5.123 unit decrease	-	LINC02653,HTR7	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1511328:12:00	26830138	Herold C
rs117792039-A	2.00E-07	(between families)	NR	-	5.158 unit increase	-	SORCS3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1750857:37:00	26830138	Herold C
rs188188267-T	5.00E-07	(between families)	NR	-	5.024 unit increase	-	ZBED5-AS1,LINC02752	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	182532:43:00	26830138	Herold C
rs117250828-A	3.00E-07	(between families)	NR	-	5.134 unit decrease	-	MICAL2	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	202872:50:00	26830138	Herold C
rs115514216-T	3.00E-09	(between families)	NR	-	5.958 unit decrease	-	LINC02699,ANO3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	431194:55:00	26830138	Herold C
rs139675748-T	2.00E-09	(between families)	NR	-	6.022 unit increase	-	MIR129-2,HSD17B12	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	726871:58:00	26830138	Herold C
rs17774966-?	8.00E-06	-	NR	-	0.153 unit increase	[NR]	TUSC1,RN7SKP120	Entorhinal cortical thickness (Alzheimer's disease interaction)	Alzheimer disease,cortical thickness	-	GCST000889	425864:59:00	21116278	Furney SJ
rs1925690-?	3.00E-08	-	NR	-	3.0E-4 unit increase	[NR]	ZNF292	Entorhinal cortical volume (Alzheimer's disease interaction)	Alzheimer disease,entorhinal cortical volume	-	GCST000893	1452628:25:00	21116278	Furney SJ
rs4670766-?	2.00E-06	-	NR	-	0.005 unit decrease	[NR]	CDC42EP3	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	628558:39:00	21116278	Furney SJ
rs10937470-?	9.00E-06	-	NR	-	0.004 unit decrease	[NR]	UTS2B	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	3188053:19:00	21116278	Furney SJ
rs2084385-?	5.00E-06	-	NR	-	0.006 unit increase	[NR]	PAK2	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	3280452:56:00	21116278	Furney SJ
rs7805803-?	9.00E-06	-	NR	-	0.004 unit decrease	[NR]	SPATA48,IKZF1	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	836436:55:00	21116278	Furney SJ
rs263238-?	2.00E-06	-	NR	-	0.006 unit increase	[NR]	ADCY8	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	2180004:27:00	21116278	Furney SJ
rs12555345-?	5.00E-06	-	NR	-	0.004 unit decrease	[NR]	LINGO2,CTAGE12P	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	460518:24:00	21116278	Furney SJ
rs10512049-?	3.00E-06	-	NR	-	0.007 unit decrease	[NR]	OTX2P1,RNU6-1228P	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	1261038:19:00	21116278	Furney SJ
rs990324-?	5.00E-06	-	NR	-	0.006 unit decrease	-	PDS5B,LINC00423	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	546898:08:00	21116278	Furney SJ
rs9574199-?	7.00E-06	-	NR	-	0.004 unit increase	[NR]	OBI1-AS1	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	1303925:59:00	21116278	Furney SJ
rs4318070-?	7.00E-06	-	NR	-	0.004 unit decrease	[NR]	FARP1	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	1638488:08:00	21116278	Furney SJ
rs3784609-?	3.00E-06	-	NR	-	0.005 unit decrease	[NR]	RORA,RORA-AS1	Total ventricular volume (Alzheimer's disease interaction)	Alzheimer disease,brain volume measurement	-	GCST000892	1010320:51:00	21116278	Furney SJ
rs1857353-?	2.00E-06	-	NR	-	0.016 unit decrease	[NR]	SLC44A5	Whole-brain volume (Alzheimer's disease interaction)	Alzheimer disease,whole-brain volume	-	GCST000895	1257470:01:00	21116278	Furney SJ
rs9846480-?	8.00E-06	-	NR	-	0.009 unit increase	[NR]	NME9	Whole-brain volume (Alzheimer's disease interaction)	Alzheimer disease,whole-brain volume	-	GCST000895	2305112:14:00	21116278	Furney SJ
rs3905000-?	9.00E-06	-	NR	-	0.013 unit increase	[NR]	ABCA1	Whole-brain volume (Alzheimer's disease interaction)	Alzheimer disease,whole-brain volume	-	GCST000895	1748255:29:00	21116278	Furney SJ
rs2852894-?	1.00E-06	-	NR	-	0.016 unit decrease	[NR]	YAP1,RNU6-952P	Whole-brain volume (Alzheimer's disease interaction)	Alzheimer disease,whole-brain volume	-	GCST000895	1704756:43:00	21116278	Furney SJ
rs11961710-A	7.00E-07	(between families)	NR	-	4.95 unit increase	-	LINC02518,SOCS5P5	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1889989:57:00	26830138	Herold C
rs17062407-A	2.00E-07	(between families)	NR	-	5.2 unit increase	-	EYA4	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2223056:11:00	26830138	Herold C
rs4896030-A	6.00E-07	(between families)	NR	-	4.988 unit increase	-	SGK1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2237376:15:00	26830138	Herold C
rs17069431-T	6.00E-07	(between families)	NR	-	4.994 unit increase	-	LINC02941,FILNC1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2331255:06:00	26830138	Herold C
rs34804891-T	6.00E-08	(between families)	NR	-	5.425 unit increase	-	SNX9	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2630751:54:00	26830138	Herold C
rs116886320-A	3.00E-07	(between families)	NR	-	5.116 unit increase	-	TULP4	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2641821:28:00	26830138	Herold C
rs183600932-T	1.00E-08	(between families)	NR	-	5.706 unit increase	-	PHF14	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	183653:09:00	26830138	Herold C
rs12374991-T	5.00E-07	(between families)	NR	-	5.046 unit increase	-	NPM1P11,PHF14	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	186478:55:00	26830138	Herold C
rs56357845-A	7.00E-07	(between families)	NR	-	4.958 unit increase	-	CHN2	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	486851:12:00	26830138	Herold C
rs138090874-A	4.00E-08	(between families)	NR	-	5.511 unit increase	-	ADCYAP1R1,NEUROD6	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	521053:17:00	26830138	Herold C
rs11773349-A	6.00E-07	(between families)	NR	-	4.991 unit decrease	-	ZNF117,MTDHP1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1082453:26:00	26830138	Herold C
rs118071777-A	7.00E-07	(between families)	NR	-	4.951 unit increase	-	EEF1A1P28,SLC66A2P1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1476922:35:00	26830138	Herold C
rs75290158-A	8.00E-07	(between families)	NR	-	4.943 unit increase	-	DLX5	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1617059:27:00	26830138	Herold C
rs62496419-A	5.00E-07	(between families)	NR	-	5.027 unit increase	-	AP1S2P1,RPL7AP40	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1622512:47:00	26830138	Herold C
rs12706411-T	8.00E-07	(between families)	NR	-	4.928 unit increase	-	CADPS2	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2040426:25:00	26830138	Herold C
rs71574743-T	1.00E-07	(between families)	NR	-	5.329 unit increase	-	IQUB,LYPLA1P1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2056747:53:00	26830138	Herold C
rs116932763-A	2.00E-07	(between families)	NR	-	5.171 unit increase	-	ZNF862	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2497539:00:00	26830138	Herold C
rs191603973-C	7.00E-07	(between families)	NR	-	4.962 unit decrease	-	INSIG1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2588506:36:00	26830138	Herold C
rs61510607-T	5.00E-07	(between families)	NR	-	5.012 unit decrease	-	EN2-DT	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	2590540:40:00	26830138	Herold C
rs188420713-T	2.00E-10	(between families)	NR	-	6.328 unit increase	-	SMARCE1P4,LINC01605	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	621285:51:00	26830138	Herold C
rs4557697-A	8.00E-09	(between families)	NR	-	5.761 unit decrease	-	NKAIN3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1048859:12:00	26830138	Herold C
rs191342285-A	2.00E-07	(between families)	NR	-	5.233 unit decrease	-	C8orf44-SGK3,SGK3	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1113114:57:00	26830138	Herold C
rs182838111-T	2.00E-07	(between families)	NR	-	5.233 unit increase	-	PPP1R42	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1116295:15:00	26830138	Herold C
rs192093332-A	2.00E-07	(between families)	NR	-	5.179 unit decrease	-	LINC01419,DPPA3P9	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1387796:39:00	26830138	Herold C
rs76070545-T	1.00E-07	(between families)	NR	-	5.262 unit decrease	-	CTHRC1,FZD6	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1722661:39:00	26830138	Herold C
rs11742761-A	3.00E-07	(between families)	NR	-	5.107 unit decrease	-	FGF10	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	738356:05:00	26830138	Herold C
rs190204665-T	1.00E-07	(between families)	NR	-	5.259 unit increase	-	F2R,F2RL1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1279891:24:00	26830138	Herold C
rs116300850-T	7.00E-07	(between families)	NR	-	4.963 unit increase	-	WDR41	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1292611:49:00	26830138	Herold C
rs186292051-T	2.00E-07	(between families)	NR	-	5.17 unit increase	-	MEF2C-AS1	Alzheimer disease and age of onset	Alzheimer disease,age at onset	-	GCST003427	1483838:33:00	26830138	Herold C
